drjimfan	Jim Fan	robotics / foundation models	NVIDIA robotics research lead working on embodied AI and physical AGI, posts substantive technical threads.
polynoamial	Noam Brown	RL / reasoning	OpenAI researcher who co-created Libratus, CICERO, and the o-series reasoning models.
goodfellow_ian	Ian Goodfellow	generative models	Inventor of GANs and co-author of the Deep Learning textbook.
sebastienbubeck	Sebastien Bubeck	LLM theory	OpenAI researcher known for Sparks of AGI and theoretical ML work.
markchen90	Mark Chen	multimodal	OpenAI Chief Research Officer with deep work on DALL-E and Codex.
awnihannun	Awni Hannun	ML systems / MLX	Anthropic researcher and lead of Apple's MLX framework for efficient on-device ML.
justinlin610	Junyang Lin	LLM training	Lead researcher on Alibaba's Qwen series of open models.
_rockt	Tim Rocktäschel	RL / agents	UCL professor and DeepMind alum focused on open-ended RL and agents.
chrszegedy	Christian Szegedy	deep learning	Co-inventor of Inception, BatchNorm-era CV, and adversarial examples research.
_arohan_	Rohan Anil	LLM training	Co-author of Shampoo optimizer and key contributor to Gemini/PaLM training.
koraykv	Koray Kavukcuoglu	deep learning	DeepMind CTO with foundational work on DQN, WaveNet, and convnet research.
remicadene	Remi Cadene	robotics	Created HuggingFace LeRobot, now building robotics startup.
chipro	Chip Huyen	ML systems	Author of Designing Machine Learning Systems and AI Engineering books.
dylan522p	Dylan Patel	ML systems / hardware	SemiAnalysis founder writing deep technical analysis of AI hardware and infra.
random_walker	Arvind Narayanan	AI evaluation	Princeton professor and co-author of AI Snake Oil, substantive critical research.
amandaaskell	Amanda Askell	alignment	Anthropic philosopher working on Claude's character and alignment.
billpeeb	Bill Peebles	diffusion	Co-creator of DiT (Diffusion Transformers) and Sora lead at OpenAI.
_sholtodouglas	Sholto Douglas	RL / scaling	Anthropic researcher scaling RL, known for substantive technical podcasts.
tomgoldsteincs	Tom Goldstein	AI security	UMD professor working on adversarial ML, watermarking, and ML foundations.
thomasscialom	Thomas Scialom	agents / LLMs	Led Llama 2/3 post-training and pioneered Toolformer and GAIA agent benchmarks.
stephenroller	Stephen Roller	LLM pre-training	Thinking Machines MTS, previously pre-training at DeepMind, Character, and Meta.
rsalakhu	Russ Salakhutdinov	deep learning	CMU professor with foundational work on deep generative models and multimodal LLMs.
nandodf	Nando de Freitas	RL / deep learning	Long-time DeepMind researcher on RL, Bayesian ML, and meta-learning.
sirbayes	Kevin Patrick Murphy	Bayesian ML	DeepMind researcher and author of the canonical Probabilistic ML textbooks.
tdietterich	Thomas G. Dietterich	machine learning	Former AAAI president with decades of foundational ML research.
ggerganov	Georgi Gerganov	efficiency / inference	Creator of llama.cpp and ggml, the dominant local LLM inference stack.
woj_zaremba	Wojciech Zaremba	RL / robotics	OpenAI co-founder with foundational work on RL and robotics.
goodside	Riley Goodside	prompting	Well-known prompt engineering researcher with substantive technical threads.
iscienceluvr	Tanishq Mathew Abraham	medical AI	Former Stability research director, posts substantive paper threads daily.
francoisfleuret	François Fleuret	ML research / vision	FAIR research scientist and Geneva professor known for ML textbooks and vision/deep learning research.
hendrycks	Dan Hendrycks	AI safety / evals	Director of CAIS, co-author of MMLU/MATH/GELU benchmarks, posts substantive safety and evaluation work.
prafdhar	Prafulla Dhariwal	generative models	OpenAI technical fellow co-creator of GPT-4o, DALL-E 2, and Glow; deep generative modeling.
sainingxie	Saining Xie	computer vision	NYU faculty, co-creator of ResNeXt and ConvNeXt, leading vision representation learning.
zoubinghahrama1	Zoubin Ghahramani	Bayesian ML	Cambridge professor and Google DeepMind VP, foundational work in probabilistic ML.
boazbaraktcs	Boaz Barak	theory / alignment	Harvard theory CS professor at OpenAI working on learning theory and alignment.
tkipf	Thomas Kipf	graph learning	Inventor of Graph Convolutional Networks, DeepMind senior staff researcher on GNNs and world models.
